urn,SchoolName,school_name_gias,LAName,la_name_gias,SchoolType,TotalPupils,TotalExpenditure,TeachingStaffCosts,SupplyTeachingStaffCosts,EducationSupportStaffCosts,AgencySupplyTeachingStaffCosts,EducationalConsultancyCosts,status,URN,PeriodCoveredByReturn,TotalTeachingSupportStaffCosts,TotalNonEducationalSupportStaffCosts,AdministrativeClericalStaffCosts,AuditorsCosts,OtherStaffCosts,ProfessionalServicesNonCurriculumCosts,TotalEducationalSuppliesCosts,ExaminationFeesCosts,LearningResourcesNonIctCosts,LearningResourcesIctCosts,TotalPremisesStaffServiceCosts,CleaningCaretakingCosts,MaintenancePremisesCosts,OtherOccupationCosts,PremisesStaffCosts,TotalUtilitiesCosts,EnergyCosts,WaterSewerageCosts,AdministrativeSuppliesNonEducationalCosts,TotalGrossCateringCosts,TotalNetCateringCosts,CateringStaffCosts,CateringSuppliesCosts,TotalOtherCosts,GroundsMaintenanceCosts,IndirectEmployeeExpenses,InterestChargesLoanBank,OtherInsurancePremiumsCosts,PrivateFinanceInitiativeCharges,RentRatesCosts,SpecialFacilitiesCosts,StaffDevelopmentTrainingCosts,StaffRelatedInsuranceCosts,SupplyTeacherInsurableCosts,CommunityFocusedSchoolStaff,CommunityFocusedSchoolCosts
100959,St Paul's Whitechapel Church of England Primary School,St Paul's Whitechapel Church of England Primary School,Tower Hamlets,Tower Hamlets,Voluntary aided school,212.0,1923490.0,630829.0,0.0,492704.0,184966.0,71493.0,success,100959.0,12.0,1379992.0,131388.0,78501.0,,26335.0,26552.0,48276.0,0.0,48276.0,19297.0,126963.0,26934.0,13000.0,21813.0,65216.0,68947.0,61168.0,7779.0,12398.0,100324.0,94868.0,0.0,100324.0,35903.0,2888.0,7213.0,0.0,8238.0,0.0,6497.0,6653.0,3348.0,0.0,1066.0,0.0,0.0
100960,St Peter's London Docks CofE Primary School,St Peter's London Docks CofE Primary School,Tower Hamlets,Tower Hamlets,Voluntary aided school,232.0,2196354.0,833429.0,0.0,575709.0,74884.0,66868.0,success,100960.0,12.0,1550890.0,134906.0,85973.0,,3039.0,45894.0,65219.0,0.0,65219.0,17596.0,114144.0,5172.0,40962.0,14283.0,53727.0,38252.0,30529.0,7723.0,30685.0,145871.0,135015.0,91128.0,54743.0,98792.0,1706.0,3806.0,0.0,8732.0,0.0,6279.0,0.0,15595.0,0.0,1039.0,49044.0,12591.0
100961,St Saviour's Church of England Primary School,St Saviour's Church of England Primary School,Tower Hamlets,Tower Hamlets,Voluntary aided school,210.0,2354584.0,854557.0,0.0,497827.0,113372.0,74299.0,success,100961.0,12.0,1540055.0,243156.0,126048.0,,37433.0,79675.0,109843.0,0.0,109843.0,24888.0,194182.0,37230.0,63704.0,7392.0,85856.0,65686.0,62664.0,3022.0,31309.0,100388.0,100384.0,0.0,100388.0,45079.0,-738.0,1914.0,0.0,8887.0,0.0,4840.0,12393.0,16701.0,0.0,1082.0,0.0,0.0
100962,English Martyrs Roman Catholic Primary School,English Martyrs Roman Catholic Primary School,Tower Hamlets,Tower Hamlets,Voluntary aided school,171.5,1691182.0,855118.0,0.0,234546.0,2658.0,61763.0,success,100962.0,12.0,1154085.0,214002.0,117801.0,,68400.0,27801.0,25023.0,0.0,25023.0,7572.0,134523.0,2879.0,7255.0,6604.0,117785.0,32977.0,28396.0,4581.0,14632.0,84547.0,77579.0,0.0,84547.0,23820.0,0.0,747.0,0.0,4898.0,0.0,4641.0,999.0,6315.0,5383.0,837.0,0.0,0.0
100965,Bow School,Bow School,Tower Hamlets,Tower Hamlets,Community school,1173.0,14017329.0,7166856.0,0.0,1480681.0,206582.0,705211.0,success,100965.0,12.0,9559330.0,1555021.0,1057149.0,,417385.0,80487.0,556027.0,287136.0,268891.0,142300.0,723559.0,261303.0,220381.0,31813.0,210062.0,318596.0,296565.0,22031.0,172574.0,400113.0,367944.0,0.0,400113.0,589812.0,6245.0,71425.0,0.0,43200.0,0.0,430160.0,3844.0,34938.0,0.0,0.0,0.0,0.0
100966,Langdon Park Community School,Langdon Park Community School,Tower Hamlets,Tower Hamlets,Community school,1061.0,12116306.0,5886661.0,0.0,1235995.0,488074.0,249192.0,success,100966.0,12.0,7859922.0,855820.0,539318.0,,232232.0,84270.0,452561.0,126121.0,326440.0,45895.0,107638.0,587.0,98983.0,8068.0,0.0,185210.0,173710.0,11500.0,118672.0,675291.0,656108.0,227679.0,447612.0,1815296.0,0.0,43538.0,177.0,28855.0,1440861.0,280170.0,280.0,16719.0,0.0,4696.0,0.0,0.0
100967,Morpeth School,Morpeth School,Tower Hamlets,Tower Hamlets,Community school,1513.0,16660062.0,8734114.0,0.0,2937925.0,365021.0,348523.0,success,100967.0,12.0,12385583.0,1055106.0,869902.0,,83585.0,101619.0,816932.0,261677.0,555255.0,130901.0,956094.0,299718.0,304214.0,18292.0,333870.0,271142.0,258879.0,12263.0,34303.0,573120.0,573120.0,0.0,573120.0,436880.0,10095.0,47597.0,0.0,54271.0,0.0,229230.0,41583.0,47804.0,0.0,6300.0,0.0,0.0
100972,Oaklands School,Oaklands School,Tower Hamlets,Tower Hamlets,Community school,880.0,10185407.0,5480949.0,121066.0,1456762.0,54710.0,36545.0,success,100972.0,12.0,7150032.0,819557.0,585143.0,,33627.0,200787.0,319500.0,63531.0,255969.0,124579.0,676098.0,220497.0,158866.0,83155.0,213580.0,241131.0,238008.0,3123.0,51983.0,353942.0,353942.0,0.0,353942.0,448584.0,4594.0,25504.0,0.0,35850.0,0.0,238569.0,124865.0,19202.0,0.0,0.0,0.0,0.0
100973,Swanlea School,Swanlea School,Tower Hamlets,Tower Hamlets,Community school,1281.0,13586897.0,6981425.0,8814.0,1580428.0,903739.0,329921.0,success,100973.0,12.0,9804327.0,722287.0,571545.0,,46541.0,104201.0,576882.0,196362.0,380520.0,160997.0,670927.0,250699.0,102003.0,83520.0,234705.0,254138.0,239251.0,14887.0,201768.0,646962.0,572191.0,317794.0,329168.0,548611.0,81.0,98524.0,0.0,46062.0,0.0,331110.0,14277.0,48942.0,0.0,5618.0,0.0,3997.0
100974,George Green's School,George Green's School,Tower Hamlets,Tower Hamlets,Voluntary controlled school,1264.0,14435896.0,7249379.0,0.0,2150273.0,117780.0,738427.0,success,100974.0,12.0,10255859.0,1273815.0,851670.0,,291446.0,130699.0,563488.0,172737.0,390751.0,204199.0,569126.0,291185.0,52854.0,44605.0,180482.0,267215.0,249350.0,17865.0,98362.0,705159.0,636625.0,426454.0,278705.0,498674.0,68701.0,29236.0,0.0,54977.0,0.0,308470.0,7555.0,24218.0,0.0,5517.0,0.0,0.0
